FID,the_geom,code,timestamp,air_pressure,air_temperature_avg,air_temperature_max,air_temperature_min,relative_humidity,precipitation,wind_speed,qc_flags
aws_1day.fid-43fc473f_19185bab7bf_-62c0,POINT (4.358 50.797),6447,2003-12-19T00:00:00,1005.74,5.26,7.9,2.1,87.75,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62bf,POINT (4.358 50.797),6447,2003-12-20T00:00:00,997.83,8.74,11.03,7,90.2,2.6,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62be,POINT (4.358 50.797),6447,2003-12-21T00:00:00,992.24,5.42,7.64,3.78,79.61,1.5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62bd,POINT (4.358 50.797),6447,2003-12-22T00:00:00,1009.16,1.67,4.16,0.45,88.94,6.5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62bc,POINT (4.358 50.797),6447,2003-12-23T00:00:00,1011.89,1.11,2.14,-0.23,95.34,4.2,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62bb,POINT (4.358 50.797),6447,2003-12-24T00:00:00,1015.36,3.32,5.69,1.26,95.75,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62ba,POINT (4.358 50.797),6447,2003-12-25T00:00:00,1010.91,7.72,8.59,5.75,88.56,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b9,POINT (4.358 50.797),6447,2003-12-26T00:00:00,997.76,6.88,9.82,5.48,84.77,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b8,POINT (4.358 50.797),6447,2003-12-27T00:00:00,987.21,7.1,9.87,5.85,82.06,4.5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b7,POINT (4.358 50.797),6447,2003-12-28T00:00:00,981.62,5.62,8.88,2.91,87.1,6.1,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b6,POINT (4.358 50.797),6447,2003-12-29T00:00:00,996.65,2.51,6.2,0.78,84.67,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b5,POINT (4.358 50.797),6447,2003-12-30T00:00:00,1004.19,4.02,7.84,0.45,85.54,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b4,POINT (4.358 50.797),6447,2003-12-31T00:00:00,1012.54,2.5,3.78,0.16,90.61,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b3,POINT (4.358 50.797),6447,2004-01-01T00:00:00,999.64,-0.22,1.39,-0.79,90.5,2.5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b2,POINT (4.358 50.797),6447,2004-01-02T00:00:00,1004.77,-0.83,1.46,-3.53,89.38,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b1,POINT (4.358 50.797),6447,2004-01-03T00:00:00,1010.74,-3.31,-0.45,-5.17,85.05,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62b0,POINT (4.358 50.797),6447,2004-01-04T00:00:00,1006.1,1.16,4.61,-3.4,91.24,0.5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62af,POINT (4.358 50.797),6447,2004-01-05T00:00:00,1007.42,3.53,4.37,2.82,96.18,7.8,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62ae,POINT (4.358 50.797),6447,2004-01-06T00:00:00,1004.85,6.42,8.77,4.35,95.52,0.5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62ad,POINT (4.358 50.797),6447,2004-01-07T00:00:00,1004.59,7.3,8.41,4.64,95.18,0.3,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62ac,POINT (4.358 50.797),6447,2004-01-08T00:00:00,992.13,5.72,7.28,3.9,85.8,2,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62ab,POINT (4.358 50.797),6447,2004-01-09T00:00:00,991.08,6.22,8.11,3.48,87.1,5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62aa,POINT (4.358 50.797),6447,2004-01-10T00:00:00,1000.87,5.58,9.7,1.4,93.15,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a9,POINT (4.358 50.797),6447,2004-01-11T00:00:00,991.75,9.64,12.1,4.93,87.04,9.7,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
